1	24	1200
1	25	1200
1	26	1200
1	27	1200
1	28	1200
1	29	1200
1	30	1200
1	31	1200
2	1	1200
2	2	1200
2	3	1200
2	4	1200
2	5	1200
2	6	1200
2	7	1200
2	8	1200
2	9	1200
2	10	1200
2	11	1200
2	12	1200
2	13	1200
2	14	1200
2	15	1200
2	16	1200
2	17	1200
2	18	1200
2	19	1200
2	20	1200
2	21	1200
2	22	1200
2	23	1200
2	24	1200
2	25	1200
2	26	1200
2	27	1200
2	28	1200
2	29	1200
3	1	1200
3	2	1200
3	3	1200
3	4	1200
3	5	1200
3	6	1200
3	7	1200
3	8	1200
3	9	1200
3	10	1200
3	11	1200
3	12	1200
3	13	1200
3	14	1200
3	15	1200
3	16	1200
3	17	1200
3	18	1200
3	19	1200
3	20	1200
3	21	1200
3	22	1200
3	23	1200
3	24	1200
3	25	1200
3	26	1200
3	27	1200
3	28	1200
3	29	1200
3	30	1200
3	31	1200
4	1	1200
4	2	1200
4	3	1200
4	4	1200
4	5	1200
4	6	1200
4	7	1200
4	8	1200
4	9	1200
4	10	1200
4	11	1200
4	12	1200
4	13	1200
4	14	1200
4	15	1200
4	16	1200
4	17	1200
4	18	1200
4	19	1200
4	20	1200
4	21	1200
4	22	1200
4	23	1200
4	24	1200
4	25	1200
4	26	1200
4	27	1200
4	28	1200
4	29	1200
4	30	1200
5	1	1200
5	2	1200
5	3	1200
5	4	1200
5	5	1200
5	6	1200
5	7	1200
5	8	1200
5	9	1200
5	10	1200
5	11	1200
5	12	1200
5	13	1200
5	14	1200
5	15	1200
5	16	1200
5	17	1200
5	18	1200
8	10	1214
8	11	1228
8	12	1243
8	13	1257
8	14	1312
8	15	1326
8	16	1340
8	17	1355
8	18	1409
8	19	1424
8	20	1438
8	21	1452
8	22	1507
8	23	1521
8	24	1536
8	25	1550
8	26	1604
8	27	1619
8	28	1633
8	29	1648
8	30	1702
8	31	1716
9	1	1731
9	2	1745
9	3	1800
9	4	1814
9	5	1828
9	6	1843
9	7	1857
9	8	1912
9	9	1926
9	10	1940
9	11	1955
9	12	2009
9	13	2024
9	14	2038
9	15	2052
9	16	2107
9	17	2121
9	18	2136
9	19	2150
9	20	2204
9	21	2219
9	22	2233
9	23	2248
9	24	2302
9	25	2316
9	26	2331
9	27	2345
9	28	0000
9	29	0014
9	30	0028
10	1	0043
10	2	0057
10	3	0112
10	4	0126
10	5	0140
10	6	0155
10	7	0209
10	8	0224
10	9	0238
10	10	0252
10	11	0307
10	12	0321
10	13	0336
10	14	0350
10	15	0404
10	16	0419
10	17	0433
10	18	0448
10	19	0502
10	20	0516
10	21	0531
10	22	0545
10	23	0600
10	24	0614
10	25	0628
10	26	0643
10	27	0657
10	28	0712
10	29	0726
10	30	0740
10	31	0755
11	1	0809
11	2	0824
11	3	0838
11	4	0852
11	5	0907
11	6	0921
11	7	0936
11	8	0950
11	9	1004
11	10	1019
11	11	1033
11	12	1048
11	13	1102
11	14	1116
11	15	1131
11	16	1145
